Number;Name;Platform;Year;Genre;Publisher;Cluster
99;Call of Duty: World at War;X360;2008;Shooter;Activision;0
100;Battlefield 3;X360;2011;Shooter;Electronic Arts;0
101;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;0
102;Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;0
103;Just Dance;Wii;2009;Misc;Ubisoft;0
104;Battlefield 3;PS3;2011;Shooter;Electronic Arts;0
105;Need for Speed Underground;PS2;2003;Racing;Electronic Arts;0
106;Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;0
107;Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;0
108;Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;0
109;Mario Kart 8;WiiU;2014;Racing;Nintendo;0
110;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;0
111;Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo;0
112;Just Dance 4;Wii;2012;Misc;Ubisoft;0
113;FIFA 14;PS3;2013;Sports;Electronic Arts;0
114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;0
115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;0
116;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;0
117;Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment;0
118;Zumba Fitness;Wii;2010;Sports;505 Games;0
119;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;0
120;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;0
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;0
122;FIFA 12;PS3;2011;Sports;Electronic Arts;0
123;Big Brain Academy;DS;2005;Misc;Nintendo;0
124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;0
125;FIFA 15;PS4;2014;Sports;Electronic Arts;0
126;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;0
127;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;0
128;The Legend of Zelda;NES;1986;Action;Nintendo;0
129;Assassin's Creed III;PS3;2012;Action;Ubisoft;0
130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;0
131;Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo;0
132;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;0
133;Pokémon Crystal Version;GB;2000;Role-Playing;Nintendo;0
134;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;0
135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive;0
136;Super Mario Sunshine;GC;2002;Platform;Nintendo;0
137;Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom;0
138;World of Warcraft;PC;2004;Role-Playing;Activision;0
139;Driver;PS;1999;Action;GT Interactive;0
140;Kinect Sports;X360;2010;Sports;Microsoft Game Studios;0
141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;0
142;Gears of War;X360;2006;Shooter;Microsoft Game Studios;0
143;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;0
144;Sonic the Hedgehog 2;GEN;1992;Platform;Sega;0
145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;0
146;Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;0
147;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;0
148;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;1
149;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;0
150;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;1
151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;0
152;Resident Evil 2;PS;1998;Action;Virgin Interactive;0
153;Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;0
154;Cooking Mama;DS;2006;Simulation;505 Games;0
155;Destiny;PS4;2014;Shooter;Activision;0
156;Tetris;NES;1988;Puzzle;Nintendo;0
157;Assassin's Creed II;PS3;2009;Action;Ubisoft;0
158;Super Smash Bros.;N64;1999;Fighting;Nintendo;0
159;Assassin's Creed;X360;2007;Adventure;Ubisoft;0
160;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;0
161;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;0
162;Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;1
163;Super Mario Advance;GBA;2001;Platform;Nintendo;0
164;Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;0
165;Super Mario World;GBA;2001;Platform;Nintendo;0
166;Pokemon Stadium;N64;1999;Strategy;Nintendo;0
167;Call of Duty: World at War;PS3;2008;Shooter;Activision;0
168;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;0
169;Minecraft;PS3;2014;Misc;Sony Computer Entertainment;0
170;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1
171;Dr. Mario;GB;1989;Puzzle;Nintendo;1
172;Pokemon Pinball;GB;1999;Misc;Nintendo;0
173;Assassin's Creed III;X360;2012;Action;Ubisoft;0
174;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;1
175;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;1
176;Donkey Kong 64;N64;1999;Platform;Nintendo;0
177;Assassin's Creed II;X360;2009;Action;Ubisoft;0
178;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;1
179;Tomb Raider II;PS;1997;Action;Eidos Interactive;0
180;Madden NFL 2004;PS2;N/A;Sports;Electronic Arts;0
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;1
182;Diablo III;PC;2012;Role-Playing;Activision;0
183;Super Mario Bros. 3;GBA;2003;Platform;Nintendo;0
184;New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;0
185;Super Mario Land 3: Wario Land;GB;1994;Platform;Nintendo;0
186;FIFA Soccer 13;X360;2012;Action;Electronic Arts;0
187;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;0
188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995;Platform;Nintendo;1
189;Tomodachi Life;3DS;2013;Simulation;Nintendo;1
190;Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega;0
191;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;0
192;Kirby's Dream Land;GB;1992;Platform;Nintendo;0
193;Fable III;X360;2010;Role-Playing;Microsoft Game Studios;0
194;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;0
195;Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios;0
196;Guitar Hero II;PS2;2006;Misc;RedOctane;0
197;Resident Evil 5;PS3;2009;Action;Capcom;1
198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;0
199;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;1
200;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;1
201;Super Mario Bros.;GB;1999;Platform;Nintendo;0
202;Resident Evil;PS;1996;Action;Virgin Interactive;1
203;Tony Hawk's Pro Skater;PS;1999;Sports;Activision;0
204;Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo;0
205;Warzone 2100;PS;1999;Strategy;Eidos Interactive;0
206;Spyro the Dragon;PS;1998;Platform;Sony Computer Entertainment;0
207;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;0
208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;0
209;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;0
210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo;1
211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;0
212;Madden NFL 06;PS2;2005;Sports;Electronic Arts;0
213;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;0
214;Diddy Kong Racing;N64;1997;Racing;Nintendo;0
215;Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom;1
216;Dr. Mario;NES;1990;Puzzle;Nintendo;0
217;God of War III;PS3;2010;Action;Sony Computer Entertainment;0
218;StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;0
219;Assassin's Creed;PS3;2007;Adventure;Ubisoft;0
220;FIFA 15;PS3;2014;Sports;Electronic Arts;1
221;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;0
222;FIFA 17;PS4;2016;Sports;Electronic Arts;1
223;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;0
224;Driver 2;PS;2000;Action;Atari;0
225;The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games;1
226;Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision;0
227;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;1
228;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;1
229;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;0
230;Tomb Raider;PS;1996;Action;Eidos Interactive;0
231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;0
232;The Legend of Zelda: A Link to the Past;SNES;1991;Action;Nintendo;1
233;The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;0
234;Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega;1
235;Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo;1
236;Splatoon;WiiU;2015;Shooter;Nintendo;1
237;The Last of Us;PS4;2014;Action;Sony Computer Entertainment;1
238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;0
239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts;0
240;Pitfall!;2600;1981;Platform;Activision;0
241;Madden NFL 07;PS2;2006;Sports;Electronic Arts;0
242;Spider-Man: The Movie;PS2;2002;Action;Activision;0
243;Dragon Quest VII: Warriors of Eden;PS;2000;Role-Playing;Enix Corporation;1
244;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;1
245;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision;1
246;God of War;PS2;2005;Action;Sony Computer Entertainment;0
247;Nintendo Land;WiiU;2012;Misc;Nintendo;0
248;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;0
249;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision;0
250;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;1
251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;0
252;Zelda II: The Adventure of Link;NES;1987;Adventure;Nintendo;1
253;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;1
254;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;1
255;Sonic the Hedgehog;GEN;1991;Platform;Sega;0
256;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;1
257;FIFA 14;X360;2013;Sports;Electronic Arts;1
258;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision;0
259;Asteroids;2600;1980;Shooter;Atari;0
260;Fable II;X360;2008;Role-Playing;Microsoft Game Studios;0
261;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;0
262;Super Mario 3D World;WiiU;2013;Platform;Nintendo;1
263;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;1
264;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft;1
265;Namco Museum;GBA;2001;Misc;Namco Bandai Games;0
266;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;1
267;Daxter;PSP;2006;Platform;Sony Computer Entertainment;1
268;Warcraft II: Tides of Darkness;PC;1995;Strategy;Activision;1
269;The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo;1
270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;1
271;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;1
272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;1
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;1
274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;1
275;Street Fighter IV;PS3;2009;Fighting;Capcom;1
276;FIFA 12;X360;2011;Sports;Electronic Arts;1
277;Teenage Mutant Ninja Turtles;NES;1989;Action;Palcom;0
278;Excitebike;NES;1984;Racing;Nintendo;1
279;Frogger;PS;1997;Action;Hasbro Interactive;0
280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;0
281;Watch Dogs;PS4;2014;Action;Ubisoft;1
282;Half-Life;PC;1997;Shooter;Vivendi Games;0
283;Super Mario World 2: Yoshi's Island;SNES;1995;Platform;Nintendo;1
284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts;1
285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;1
286;Street Fighter II Turbo;SNES;1992;Fighting;Capcom;1
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;1
288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;1
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;0
290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;0
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;1
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;1
293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;1
294;Namco Museum Vol.3;PS;1996;Misc;Sony Computer Entertainment;1
295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;1
296;Far Cry 4;PS4;2014;Shooter;Ubisoft;1
297;Star Fox 64;N64;1997;Shooter;Nintendo;1
298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe;1
299;Golf;NES;1984;Sports;Nintendo;1
300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;1
301;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;1
302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;1
303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;1
304;EA Sports Active;Wii;2009;Sports;Electronic Arts;1
305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft;1
306;Donkey Kong Land;GB;1994;Platform;Nintendo;1
307;Tony Hawk's Underground;PS2;2003;Sports;Activision;1
308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft;1
309;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;1
310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;1
311;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;1
312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games;1
313;Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation;1
314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;1
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;1
316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;1
317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;1
318;Namco Museum Vol.1;PS;1995;Misc;Sony Computer Entertainment;1
319;The Legend of Zelda: Link's Awakening;GB;1992;Action;Nintendo;1
320;Mario & Luigi: Bowser's Inside Story;DS;2009;Role-Playing;Nintendo;1
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;1
322;Nintendogs + cats;3DS;2011;Simulation;Nintendo;1
323;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment;1
324;Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega;1
325;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision;1
326;Resident Evil Director's Cut;PS;1996;Action;Virgin Interactive;1
327;Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment;1
328;Just Dance 2014;Wii;2013;Misc;Ubisoft;1
329;The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;1
330;Super Paper Mario;Wii;2007;Platform;Nintendo;1
331;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts;1
332;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games;1
333;Resident Evil 3: Nemesis;PS;1999;Action;Eidos Interactive;1
334;Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment;1
335;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts;1
336;Pokémon Trading Card Game;GB;1998;Strategy;Nintendo;1
337;Battlefield 4;PS3;2013;Shooter;Electronic Arts;1
338;MySims;DS;2007;Simulation;Electronic Arts;1
339;Friend Collection;DS;2009;Misc;Nintendo;1
340;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision;1
341;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive;1
342;Banjo-Kazooie;N64;1998;Platform;Nintendo;1
343;SOCOM: U.S. Navy SEALs;PS2;2002;Shooter;Sony Computer Entertainment;1
344;Guitar Hero: World Tour;Wii;2008;Misc;Activision;1
345;Gran Turismo 6;PS3;2013;Racing;Sony Computer Entertainment;1
346;Jak and Daxter: The Precursor Legacy;PS2;2001;Platform;Sony Computer Entertainment;1
347;Pokemon Snap;N64;1999;Simulation;Nintendo;1
348;FIFA Soccer 10;PS3;2009;Sports;Electronic Arts;1
349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment;1
350;Call of Duty: Ghosts;PS4;2013;Shooter;Activision;1
351;Resident Evil 4;PS2;2005;Action;Capcom;1
352;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft;1
353;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts;1
354;Doom II: Hell on Earth;PC;1994;Shooter;Virgin Interactive;1
355;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts;1
356;Cooking Mama 2: Dinner With Friends;DS;2007;Simulation;505 Games;1
357;Luigi's Mansion;GC;2001;Action;Nintendo;1
358;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts;1
359;WWF SmackDown!;PS;2000;Fighting;THQ;1
360;Croc: Legend of the Gobbos;PS;1997;Platform;Fox Interactive;1
361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive;1
362;The Getaway;PS2;2002;Action;Sony Computer Entertainment;1
363;Tomb Raider III: Adventures of Lara Croft;PS;1997;Action;Eidos Interactive;1
364;James Bond 007: Agent Under Fire;PS2;2001;Shooter;Electronic Arts;1
365;LEGO Star Wars: The Video Game;PS2;2005;Action;Eidos Interactive;1
366;Battlefield 4;X360;2013;Shooter;Electronic Arts;1
367;FIFA Soccer 11;X360;2010;Sports;Electronic Arts;1
368;Rugrats in Paris: The Movie;PS;2000;Action;THQ;1
369;Spyro 2: Ripto's Rage!;PS;1999;Platform;Sony Computer Entertainment;1
370;Left 4 Dead;X360;2008;Shooter;Electronic Arts;1
371;Mario & Sonic at the Olympic Winter Games;DS;2009;Sports;Sega;1
372;Resident Evil 5;X360;2009;Action;Capcom;1
373;Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;1996;Platform;Nintendo;1
374;Assassin's Creed: Brotherhood;X360;2010;Action;Ubisoft;1
375;Kung Fu;NES;1985;Action;Nintendo;1
376;Batman: Arkham Asylum;X360;2009;Action;Eidos Interactive;1
377;Clubhouse Games;DS;2006;Misc;Nintendo;1
378;FIFA Soccer 2004;PS2;N/A;Sports;Electronic Arts;1
379;Star Wars Battlefront (2015);XOne;2015;Shooter;Electronic Arts;1
380;Battlefield: Bad Company 2;X360;2010;Shooter;Electronic Arts;1
381;Guitar Hero: On Tour;DS;2008;Misc;Activision;1
382;Assassin's Creed: Unity;XOne;2014;Action;Ubisoft;1
383;Far Cry 3;PS3;2012;Shooter;Ubisoft;1
384;Monster Hunter 4;3DS;2013;Role-Playing;Capcom;1
385;Borderlands;X360;2009;Shooter;Take-Two Interactive;1
386;Tekken 4;PS2;2002;Fighting;Namco Bandai Games;1
387;Battlefield 4;PS4;2013;Shooter;Electronic Arts;1
388;LittleBigPlanet 2;PS3;2011;Platform;Sony Computer Entertainment;1
389;Grand Theft Auto 2;PS;1998;Action;Take-Two Interactive;1
390;Final Fantasy III;SNES;1994;Role-Playing;SquareSoft;1
391;Spider-Man 2;PS2;2004;Action;Activision;1
392;F-1 Race;GB;1990;Racing;Nintendo;1
393;FIFA Soccer 2003;PS2;2002;Sports;Electronic Arts;1
394;Crash Bash;PS;2000;Misc;Sony Computer Entertainment;1
395;LEGO Batman: The Videogame;X360;2008;Action;Warner Bros. Interactive Entertainment;1
396;Metal Gear Solid V: The Phantom Pain;PS4;2015;Action;Konami Digital Entertainment;1
397;The Legend of Zelda: Spirit Tracks;DS;2009;Action;Nintendo;1
398;WWF War Zone;PS;1998;Fighting;Acclaim Entertainment;1
399;The Legend of Zelda: Majora's Mask;N64;2000;Action;Nintendo;1
400;Professor Layton and the Unwound Future;DS;2008;Puzzle;Nintendo;1
